;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
r2;0,9451543821644246;0,9453271114488709;0,9452208189427057;0,9441183918965346;0,9444984296556985;0,9448127269821875;0,9436133074528168;0,9438536170556506;0,9424963632972774;0,9419649540969572;0,9420149279906725;0,9410520047980556;0,9389914740681853;0,9387130532689226;0,9381512668862769;0,937444893675723;0,9365194830520307;0,9365001127683478;0,9356398913358043;0,9343913494155095;0,9342929071514684;0,9337512241843846;0,9328239782384617;0,9325958424386691;0,9316954750725396;0,9297816369076054;0,9294520465179278;0,9288691840118433;0,9281235691382428;0,9265536330503663;0,9264308569266632;0,9259979157085981;0,9245624516681498;0,9232890811224091;0,9234515735788829;0,9209169948209498;0,9163688947606423;0,9140848234263392;0,9117296953309301
RMSE;4761,314078237914;4753,8105897791465;4758,429415496244;4806,072429912424;4789,702061874162;4776,121114514134;4827,743351617522;4817,444894967743;4875,324412763574;4897,799810083804;4895,690611778583;4936,1731303491415;5021,704228954818;5033,149804424351;5056,16534860123;5084,956560402607;5122,430695402918;5123,212158539026;5157,797035830542;5207,58559038247;5211,490977519815;5232,928401905295;5269,422291587638;5278,362423198241;5313,498978663567;5387,42471710441;5400,053640539196;5422,3151965087445;5450,660289213;5509,865822780638;5514,469164808861;5530,671194485643;5584,054479737581;5630,986114038551;5625,019050693273;5717,385106817515;5879,491705934764;5959,239053537287;6040,364919952687
eqs;7547,0;7023,0;6166,0;5470,0;4868,0;4522,0;3845,0;3374,0;2311,0;2087,0;1911,0;1455,0;1195,0;915,0;863,0;663,0;548,0;485,0;423,0;307,0;288,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
