;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
r2;0,9453878269411596;0,9454858419362243;0,9447684232562844;0,9449340892202839;0,9445811252106997;0,9439680389956487;0,9432717767871006;0,9415981837771432;0,9389480171639853;0,9392042366609422;0,9383288836919786;0,9362374840646159;0,935934731059059;0,9342327754049746;0,9340743381209343;0,9317697385408164;0,9324662611312682;0,9298780779092812;0,9305160226683823;0,9287828461033905;0,9296997241128041;0,9293420735883627;0,924505853254753;0,9247911202570835;0,9243768041191142;0,9241168450791372;0,9242962294644796;0,9229941833103865;0,922228971443007;0,9231752984775721;0,9232802139020516;0,9204414124763988;0,9197914752574479;0,9204754504524991;0,9182380492979676;0,9130088277681887;0,9074500461031089;0,9077718669092154
RMSE;4732,613868716505;4728,365040873515;4759,376522824717;4752,23333697023;4767,439550515114;4793,737559814067;4823,4294844922;4894,062597002979;5003,872438776272;4993,361415220333;5029,180790053892;5113,7449746823695;5125,87097238398;5193,511535675488;5199,763516748774;5289,868315149883;5262,79847646445;5362,696873210306;5338,247165737635;5404,4144936694765;5369,512501672681;5383,153789888166;5564,331347499935;5553,8085287186195;5569,08513025622;5578,6489418222345;5572,051201991784;5619,764399235843;5647,617360412933;5613,1517575558855;5609,317656124043;5712,153575168098;5735,438238273679;5710,931513833189;5790,711993238635;5973,019529792817;6160,904070135662;6150,183191119114
eqs;7552,0;7050,0;6163,0;5474,0;4871,0;4517,0;3845,0;3376,0;2304,0;2090,0;1913,0;1451,0;1194,0;916,0;861,0;664,0;548,0;486,0;422,0;306,0;288,0;267,0;167,0;157,0;141,0;93,0;85,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
