;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
r2;0,9462009188651054;0,9454123268359025;0,9457242302197175;0,9452201158438419;0,9452383836784835;0,9453936888645256;0,9449346390345383;0,9445750832628153;0,9432686618107238;0,9429427943313294;0,9427780166871438;0,9414382685649028;0,9408519644480496;0,9396861681411606;0,9399119709774924;0,9389248512697163;0,9378371181186503;0,936971774284932;0,9369956951381873;0,9349088237001849;0,9358675412675953;0,9336189585288031;0,9324841028516668;0,931775568892705;0,9315872618276088;0,9308176857850882;0,9299332132002989;0,9294791633000524;0,9280938631598106;0,9269996542756778;0,9268656192827049;0,9252576974995648;0,9248170015026586;0,9246889852420893;0,9226275891923763;0,9188792888834032;0,9148876043823807;0,9128453009883828
RMSE;4697,251051017121;4731,552186474636;4718,015235853623;4739,875101814828;4739,0847161118;4732,359868896052;4752,209612200089;4767,69942439712;4823,561911190923;4837,395457937163;4844,375469995617;4900,758450754268;4925,22988287196;4973,530707005023;4964,212028485068;5004,8216969355035;5049,192323821693;5084,214723632802;5083,249836120074;5166,7494650898125;5128,558200221423;5217,6912188906435;5262,103241882409;5289,6422977497095;5296,937269845784;5326,646621474944;5360,58817462352;5377,929087304213;5430,493792905728;5471,656200629094;5476,6771156555005;5536,554501615106;5552,852844688285;5557,578335355684;5633,125250174816;5767,959704923497;5908,166835432817;5978,630961562907
eqs;7552,0;7050,0;6163,0;5474,0;4871,0;4517,0;3845,0;3376,0;2304,0;2090,0;1913,0;1451,0;1194,0;916,0;861,0;664,0;548,0;486,0;422,0;306,0;288,0;267,0;167,0;157,0;141,0;93,0;85,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
