;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
r2;0,9447031291464757;0,9440915666576866;0,9433446635907612;0,9426940781604104;0,9407785070693906;0,9412130908844734;0,9407356905017342;0,9398755191502577;0,9380906380020333;0,9378405357081117;0,9374445312317694;0,935562072851872;0,9340870838166522;0,9324459711984708;0,9325031444450844;0,9310272119642008;0,9313576259177051;0,9302531070123383;0,9310125783195751;0,9287554188531544;0,9307058600370471;0,9289493037139867;0,9268574547401549;0,9272315967859142;0,9262188788651771;0,9257880843239351;0,9253997542011123;0,9258984834504311;0,9241765265360489;0,9239595855003806;0,9231456270275344;0,919949827672151;0,9200340961294207;0,9180193682537487;0,9187851230515905;0,9185121024290225;0,9172819682432027;0,9129424640930753;0,9116343456274907
RMSE;4804,938340876441;4831,435680552296;4863,601147573812;4891,446327449892;4972,527763736651;4954,249271750294;4974,324983736027;5010,293999913934;5084,118976197039;5094,378072389016;5110,579898122133;5186,905332936785;5245,933780786498;5310,839396802851;5308,591550094853;5366,31833296569;5353,449235429153;5396,348312656051;5366,887576524176;5453,978978804366;5378,804944136942;5446,552699146887;5526,148809058463;5511,996885425667;5550,219590913856;5566,399368736047;5580,944069159054;5562,257484392171;5626,513674409925;5634,5570269797545;5664,633713558484;5781,209085510265;5778,16535783608;5850,502527144706;5823,114587398615;5832,894177879956;5876,755696088766;6028,936730293576;6074,062968923658
eqs;7538,0;7031,0;6165,0;5468,0;4861,0;4521,0;3842,0;3377,0;2315,0;2095,0;1913,0;1455,0;1201,0;919,0;866,0;666,0;550,0;488,0;421,0;307,0;290,0;266,0;168,0;158,0;140,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
