;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
r2;0,9447653295574218;0,9445997336259385;0,9426818871532809;0,9444708508511328;0,9434911808766218;0,9419141451337276;0,9436014076800593;0,9421702428030262;0,9436308464485197;0,9392089515748535;0,9394143892928286;0,9406525644352122;0,9421817142892183;0,9421365033025281;0,9362580049866212;0,9385077764649661;0,9393252770555844;0,9421092566731253;0,9363964567803136;0,9412097916323147;0,933434682561947;0,9363653852668747;0,9416255118936664;0,9332446817790048;0,9342584690724863;0,9402107342094532;0,9300199792492504;0,9367639264164426;0,9390197506172723;0,9309555966157731;0,931150058240984;0,9390070201790234;0,9325631128372621;0,9358745385539036;0,9383952765918233;0,9347733186571031;0,9264867077357443;0,9373246571828909;0,9291956501331415;0,928835417969007;0,9352867749250435;0,9338035990881373;0,9305844029595464;0,9368480074659219;0,9248405682801046;0,9334089913467104;0,9265711748588601;0,9321136932665425;0,9259685754999017;0,9288994556740261;0,9324625435995602;0,9303587217785813;0,9220769613625521;0,9246333029593676;0,9231298443671795;0,9271136527384402;0,9290682096664062;0,9241029029969909;0,922332023502741;0,92055070118221;0,9181927114236512;0,9226079079326627;0,9184794801635023;0,9187087325596062;0,9167790887905742;0,9165892284045476;0,9152101837972151;0,9144632029219686;0,9130877913253899;0,9121496192717153
RMSE;4802,23517497005;4809,428441975087;4891,966592058075;4815,019501703086;4857,30815737013;4924,620103172079;4852,568482157118;4913,751907027839;4851,301852259517;5037,990655865198;5029,470740293816;4977,812337075728;4913,264520986941;4915,185108278611;5158,819905868139;5066,961909875832;5033,168175227427;4916,342197576678;5153,214212641512;4954,388291546735;5271,831790106656;5154,4727794300625;4936,8403559304015;5279,350258114764;5239,109163129758;4996,307404842327;5405,35938875826;5138,306294568111;5045,824474936758;5369,103569442027;5361,537273329085;5046,3511389417945;5306,232785091962;5174,314149179695;5071,594789118478;5218,554006093754;5540,13665574212;5115,4742159660855;5437,102378027726;5450,916036753909;5197,973522486755;5257,202790090138;5383,516799356628;5134,889116136071;5601,821741636199;5272,849036809077;5536,952919238563;5323,884585278467;5559,6262139249175;5448,46297158237;5310,187927447853;5392,261033915387;5703,881321954848;5609,540427077575;5665,215322626681;5516,462037752575;5441,993287669936;5629,244644931861;5694,538535309098;5759,470726939129;5844,313984274183;5684,415752473169;5834,061610026678;5825,852546578497;5894,592324836114;5901,312462704474;5949,896181245126;5976,0473928281635;6023,902504149066;6056,327681797518
eqs;7538,0;7031,0;6165,0;5468,0;4861,0;4521,0;3842,0;3377,0;3253,0;2315,0;2095,0;2038,0;2012,0;1913,0;1455,0;1201,0;1193,0;1142,0;919,0;866,0;865,0;666,0;662,0;550,0;488,0;479,0;481,0;479,0;421,0;307,0;290,0;266,0;261,0;257,0;257,0;255,0;168,0;164,0;158,0;154,0;140,0;136,0;93,0;91,0;86,0;85,0;81,0;74,0;54,0;49,0;47,0;44,0;44,0;29,0;28,0;26,0;24,0;15,0;15,0;15,0;15,0;8,0;8,0;8,0;8,0;4,0;4,0;4,0;2,0;2,0
