;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
avg abs;0,001937531216807314;0,003613082919746388;0,006300042317709877;0,008852417165121109;0,011803265963829477;0,013781463569812294;0,017849248393199794;0,02149690327661861;0,030451707399455918;0,03265251387344272;0,03476244055067199;0,0396565649210818;0,0430187294345351;0,04801480773915512;0,048962774776352046;0,05309734439422614;0,056971357267236435;0,05826259256005398;0,05980355443107073;0,06494003021785767;0,06550936960091823;0,06668677548265979;0,0708882348342635;0,07137407724249077;0,0749649022811792;0,07900856211081583;0,07958436459007483;0,07999349756533201;0,08157955769191198;0,08732515449235273;0,08781259229784012;0,08768774514776113;0,09443820372368113;0,09717221398643598;0,09712776962718529;0,10217770955182769;0,10357528178596175;0,11163416802187667;0,12586058923438426
std abs;0,01230774878825318;0,022570709330267;0,02987088438035011;0,044608345919421116;0,0687186315277251;0,08608865759109492;0,09754702744619469;0,11282881085454044;0,1408388451652092;0,15717012562709523;0,16269210294261083;0,18433488167094647;0,20212473827619987;0,22460594733117525;0,22719297930477256;0,23858646858675991;0,26611862124493385;0,2730918436721845;0,2811031494638703;0,31359524672993444;0,31662041168287086;0,31918825520859084;0,3409843570121787;0,3402820674105995;0,43087057766612336;0,45058232840770945;0,451711473955499;0,45292296470332416;0,4379861641079148;0,4719443782866175;0,4697116077031738;0,4627304602396977;0,5611359820324109;0,5944373091158057;0,5908735418569842;0,6317418192358125;0,6626644813739766;0,8692877780954794;1,2268153594612015
leftover eqs;7649,0;7129,0;6240,0;5537,0;4913,0;4563,0;3883,0;3401,0;2323,0;2104,0;1924,0;1460,0;1202,0;920,0;873,0;666,0;551,0;488,0;423,0;307,0;290,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
original eqs;7649,0;7129,0;6240,0;5537,0;4913,0;4563,0;3883,0;3401,0;2323,0;2104,0;1924,0;1460,0;1202,0;920,0;873,0;666,0;551,0;488,0;423,0;307,0;290,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
