;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
avg abs;0,0020443996546365174;0,003752212839054286;0,006911807637468878;0,010475100812139801;0,013679099500857012;0,01581371356268047;0,021269048529198878;0,026094137461931215;0,037540592788481826;0,040994456950145926;0,04487085112384694;0,04974925555210295;0,05461048225367507;0,062075879463996265;0,06309168934536702;0,06644388695402788;0,06890385788232445;0,07152778527822339;0,0735105990194158;0,07636957285107109;0,0770067055585925;0,07786198419539876;0,08180908117907668;0,08254428425094384;0,08378925986942035;0,0891656453284229;0,09020673668374948;0,09075420528098072;0,09142191409157263;0,09501313797647448;0,0957498340056287;0,09662799557541323;0,09695578721969453;0,09755579352248044;0,09944829397019027;0,10076278006789276;0,10318752744006977;0,11414943195190286;0,12365377287460608
std abs;0,01318735351730061;0,01825989704383515;0,029208705835237242;0,05177090635123383;0,07662233225010998;0,0936363495988083;0,12790045916106627;0,15588929401557736;0,2508504946550793;0,2558953433351574;0,2802780512957679;0,316082206237425;0,3230528746423766;0,34957781472502253;0,3560043068224898;0,37335884741927367;0,38188654865097543;0,38675184212697034;0,4058577827692189;0,43406090659234137;0,44300938017517094;0,45193944196356084;0,4595148072044421;0,47047367982981314;0,49591706558000614;0,6134762130089865;0,6159136086044101;0,634553348360025;0,6411588571970323;0,7115235239004174;0,7233740628365565;0,7149658932919816;0,6661012177549834;0,662468962791776;0,7085736184120878;0,6583676283933215;0,6784022928899398;0,8650616786370785;1,1503557364977721
leftover eqs;7649,0;7129,0;6240,0;5537,0;4913,0;4563,0;3883,0;3401,0;2323,0;2104,0;1924,0;1460,0;1202,0;920,0;873,0;666,0;551,0;488,0;423,0;307,0;290,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
original eqs;7649,0;7129,0;6240,0;5537,0;4913,0;4563,0;3883,0;3401,0;2323,0;2104,0;1924,0;1460,0;1202,0;920,0;873,0;666,0;551,0;488,0;423,0;307,0;290,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
