;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
avg abs;0,0072959158035777105;0,008611615238342854;0,01567066621344347;0,018998601194285692;0,02278679279257663;0,025253351731632033;0,031721824686513224;0,036859416568855545;0,048464108232715915;0,051473851942659014;0,0531716264615825;0,058231421534869335;0,06085593127411118;0,06489550639315805;0,06583106908717536;0,06901845525621078;0,07074483554892813;0,07271800209911909;0,073806028908039;0,07892652230847073;0,0794408216132402;0,0798514857593098;0,08286795701527908;0,08346060608900632;0,0839300360461666;0,08725900793214221;0,08794567347761378;0,08796769337221862;0,08886011564929383;0,09057925900054803;0,09112174887773977;0,09180776161961587;0,09554669107052054;0,09589946298014308;0,09687339303769113;0,10105664280456575;0,10650990241056807;0,11128507035211177;0,11698591250084567
std abs;0,018296727137342723;0,02188333265373082;0,03653525677059927;0,041518065259603006;0,04839103851396146;0,058507412785063224;0,08313428421221475;0,11288882438773326;0,1753452423728173;0,19894787876019743;0,20313253119672434;0,22838581268903965;0,2559213050135872;0,2945078751310149;0,29904606450630444;0,3172132188675737;0,3354024223774001;0,37062047507502577;0,3712414507471159;0,45132479674725645;0,4562513707620347;0,462994960244077;0,429133788895847;0,43798610244753317;0,4331894202486378;0,4205152670808874;0,4334464461215945;0,41458093321954276;0,41361597054384736;0,41602179781398196;0,4147226922409232;0,42399045601105606;0,48423511175223055;0,4761159390808161;0,5255756844375221;0,588942066777411;0,5710632445525842;0,6132308482861353;0,8485965298080016
leftover eqs;7649,0;7129,0;6240,0;5537,0;4913,0;4563,0;3883,0;3401,0;2323,0;2104,0;1924,0;1460,0;1202,0;920,0;873,0;666,0;551,0;488,0;423,0;307,0;290,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
original eqs;7649,0;7129,0;6240,0;5537,0;4913,0;4563,0;3883,0;3401,0;2323,0;2104,0;1924,0;1460,0;1202,0;920,0;873,0;666,0;551,0;488,0;423,0;307,0;290,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
