;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
avg abs;0,00021388202867189543;0,00033333967029405706;0,0005550975290911628;0,0007674665638369114;0,0011037712754372155;0,0013114225622984233;0,0016505472037433018;0,001956109406101537;0,003153463659250638;0,0035237046249001133;0,003775221936072439;0,004699193019898277;0,005004589505513134;0,0055801878905462855;0,005736872852809154;0,006242011490955075;0,006701498662039216;0,006925999301085291;0,007263797775768533;0,008213946814222462;0,00834326264974397;0,00848439767100194;0,009890984617161905;0,010003510564807663;0,01027018767973013;0,011301935818588679;0,011365281942025462;0,011432355510471679;0,011737398027585924;0,012422897120024378;0,0125374430277989;0,012445604916654727;0,012743090705934922;0,012894266372526025;0,012909634381106356;0,013347806203858061;0,013591650101634434;0,01357774225898596;0,013723659525410686
std abs;0,001991330891893839;0,0024525829808217377;0,0035629811852429232;0,003992237687778241;0,00641832296186599;0,00749510058091061;0,008440173918510986;0,010065482201232037;0,024133287376997117;0,024811710840394543;0,025109457546433372;0,04132837004840361;0,04213892649260254;0,04695749761250767;0,045810156835957634;0,037474831640316675;0,03842520515252735;0,03419371281599134;0,032740211976715776;0,03839251734743017;0,03872852351770998;0,03849923620001694;0,0491319347900852;0,04953564714674343;0,050682172344200783;0,05691463133704759;0,05621377064422181;0,05626909292963865;0,05939477537602017;0,0685119848329902;0,06915520402943326;0,06580067103328649;0,06651813969640066;0,07296180097897154;0,0729001915257628;0,09089424230459546;0,09349012976656683;0,08509852290374487;0,08164514981081576
leftover eqs;7649,0;7129,0;6240,0;5537,0;4913,0;4563,0;3883,0;3401,0;2323,0;2104,0;1924,0;1460,0;1202,0;920,0;873,0;666,0;551,0;488,0;423,0;307,0;290,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
original eqs;7649,0;7129,0;6240,0;5537,0;4913,0;4563,0;3883,0;3401,0;2323,0;2104,0;1924,0;1460,0;1202,0;920,0;873,0;666,0;551,0;488,0;423,0;307,0;290,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
