;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
avg abs;0,001694982770827908;0,002989752457770492;0,0047621342295454455;0,006213248954241153;0,008626216069143681;0,009790846531069345;0,012618170147423627;0,015451984917893949;0,022155760485142107;0,02423545639929509;0,026239062022276584;0,03193124087066563;0,03566055047698135;0,040174696255515334;0,040764657097679846;0,04671477585605594;0,050817531226287016;0,05321066488510705;0,05549741313386961;0,06060253632771192;0,06111428737369178;0,06256850196174728;0,06698297261095464;0,06780485374347793;0,06886119772941006;0,07253729417310546;0,07278345953321204;0,0732893822926081;0,07359671541648727;0,07662294988549802;0,0787347834628888;0,07986899588263821;0,0867607014401307;0,08637430559803612;0,08701492954771763;0,09200511846126681;0,09595780880571332;0,10792827820955764;0,12487041426608317
std abs;0,012949276211155172;0,022241920425974594;0,02752265225374613;0,0294562818824891;0,0388373689078337;0,04242489448599142;0,05971933725000924;0,10993679323819978;0,0945421262082477;0,09908376969747269;0,10260996405674706;0,11950826239440339;0,13269134428375948;0,13890333134367322;0,13507840245030314;0,14116134511571324;0,14508003549457546;0,15511660627843082;0,16493319379294713;0,18506308921428316;0,1859350693581353;0,19192557638143973;0,22039202639279562;0,22430409535383192;0,23406053874589652;0,25591284937406994;0,262200302424758;0,2663339229514266;0,26666239756330085;0,29754272494745637;0,3278917663198475;0,31569653421589206;0,41197960472831396;0,38833106883197926;0,38914425960972887;0,42976491283880514;0,487751825198848;0,7110507872391327;0,9914445892694839
leftover eqs;7649,0;7129,0;6240,0;5537,0;4913,0;4563,0;3883,0;3401,0;2323,0;2104,0;1924,0;1460,0;1202,0;920,0;873,0;666,0;551,0;488,0;423,0;307,0;290,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
original eqs;7649,0;7129,0;6240,0;5537,0;4913,0;4563,0;3883,0;3401,0;2323,0;2104,0;1924,0;1460,0;1202,0;920,0;873,0;666,0;551,0;488,0;423,0;307,0;290,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
