;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
r2;0,9457116311397912;0,9454419652655371;0,9451488897138404;0,9440383212757936;0,9444966971431;0,9445451230524867;0,9436462771465811;0,9436588586040027;0,9426494054675013;0,9419585639780671;0,9417061622511964;0,9400969929453469;0,9394327730565074;0,938881982310648;0,9382140287538856;0,9375129334337966;0,9364022818106101;0,9364597252357467;0,9364028747155471;0,9350654326349237;0,9352394002019733;0,935104276484453;0,9328582113022192;0,9330433213416133;0,9321490389381653;0,9301614076013314;0,9307867446504058;0,9301156634371609;0,929500251375617;0,9281114649696958;0,9273808126849329;0,9267921612857537;0,925456420454052;0,9255791965797866;0,9234436774596058;0,9220761606334593;0,9183540006554265;0,9153648902451994;0,9130662090890219
RMSE;4737,064089018669;4748,814691864964;4761,552480398682;4809,514416141751;4789,776817906796;4787,686852972334;4826,331737579457;4825,792947294126;4868,832411757877;4898,069445966059;4908,707880745732;4975,997756605686;5003,509272132198;5026,2084251947945;5053,599290171369;5082,190412568028;5127,157172270845;5124,841145746218;5127,1332726407045;5180,764361485094;5173,8197595503425;5179,214563403456;5268,079465293372;5260,812400445677;5295,827929132073;5372,836226086188;5348,727861989518;5374,595537531467;5398,20841834392;5451,119222222458;5478,750913793782;5500,911483536879;5550,869096127449;5546,295965499991;5625,309159047559;5675,3289003251575;5809,293497433368;5914,67852452667;5994,461469473989
eqs;7547,0;7023,0;6166,0;5470,0;4868,0;4522,0;3845,0;3374,0;2311,0;2087,0;1911,0;1455,0;1195,0;915,0;863,0;663,0;548,0;485,0;423,0;307,0;288,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
