;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
r2;0,9447646877694369;0,9459374848284456;0,9452554571244286;0,9446288110092307;0,9446107135587516;0,9442276704831849;0,9437250509250231;0,9433899869255411;0,9419264013467068;0,9414029847253057;0,9420075671514598;0,940433180296542;0,9402468833368438;0,9389849139760411;0,9384845565553479;0,9374977590260796;0,9372640574667567;0,9360179230329586;0,9364411892901571;0,9350118232600965;0,9344910468656991;0,9346971324822141;0,9328497507818836;0,9329573516632186;0,9326505810409614;0,9313718130117521;0,9312501213006638;0,9298268903037855;0,9293586927119167;0,9283985158420606;0,9284473471411328;0,9268844269536568;0,9256408415330681;0,9259968659097567;0,9235859605646214;0,9227126419335202;0,918312408235383;0,9152048396189683;0,9127431452258556
RMSE;4778,199412432834;4727,200111806284;4756,92474343561;4784,072896619656;4784,854642963588;4801,370902574936;4822,957325723494;4837,294087423505;4899,42634713038;4921,456054431369;4896,001340442046;4962,014975842549;4969,768341375295;5021,974207260652;5042,523645844864;5082,807456640496;5092,301130001468;5142,627061789194;5125,588599625737;5182,902515700044;5203,627420346037;5195,435887302447;5268,411369538946;5264,188652659172;5276,218721122301;5326,073149592279;5330,79316273374;5385,688429421501;5403,625316792469;5440,225178660732;5438,3697801705375;5497,443922549758;5543,998409097669;5530,71042359437;5620,07929258387;5652,103355911983;5810,7730053884425;5920,26840846266;6005,589466997275
eqs;7547,0;7023,0;6166,0;5470,0;4868,0;4522,0;3845,0;3374,0;2311,0;2087,0;1911,0;1455,0;1195,0;915,0;863,0;663,0;548,0;485,0;423,0;307,0;288,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
