;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
r2;0,9459858781896341;0,9453453506113414;0,945702460726776;0,9454080139202581;0,9446245891369751;0,9443833573543511;0,9436052284098901;0,9432798417769711;0,9410116669195411;0,9401920134567565;0,9399730457693087;0,9380739436203738;0,9379266223514587;0,9356803879571297;0,9370404113592429;0,9340263427127389;0,9336138469237332;0,932811687812422;0,9319541696910637;0,9293164498004283;0,930202535555459;0,9294509021111715;0,9288602529369859;0,9297852301900569;0,9287858247689785;0,9238267414988407;0,923623725935951;0,9232996569217109;0,923022999740102;0,9225953265761713;0,920827051717761;0,9207965544216113;0,9187100160856797;0,9171041260669796;0,9122583728545701;0,9128009759700387;0,9071995243300295;0,9114843359002294
RMSE;4706,629395966427;4734,453980392468;4718,961316424898;4731,739100307018;4765,569679592342;4775,938519870966;4809,23239874671;4823,086601439871;4918,576212631478;4952,630571991638;4961,688520041926;5039,565046663838;5045,556014961003;5136,035906791785;5081,445641395632;5201,655946492274;5217,892106545289;5249,321941601238;5282,714035952182;5384,129789997841;5350,275754731955;5379,006580515733;5401,476631604579;5366,246044760312;5404,301472361248;5589,302440599275;5596,745737326143;5608,60682916688;5618,712811799294;5634,29957326163;5698,292680077612;5699,390061135254;5773,97450593528;5830,728243095735;5998,728207204723;5980,151070317262;6169,236854107765;6025,129825138916
eqs;7552,0;7050,0;6163,0;5474,0;4871,0;4517,0;3845,0;3376,0;2304,0;2090,0;1913,0;1451,0;1194,0;916,0;861,0;664,0;548,0;486,0;422,0;306,0;288,0;267,0;167,0;157,0;141,0;93,0;85,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
