;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
r2;0,9455960870418895;0,9446866407105344;0,9461616295156561;0,9443726037231139;0,9447224544083412;0,9445105878465415;0,9434069603554259;0,9424132185244154;0,9407806915216252;0,9395053843015526;0,9383762668371894;0,9370489019266671;0,9358315113326451;0,9344508423004692;0,9334665097975117;0,9309142163083529;0,9311004049176578;0,9311364566357525;0,9305665434919071;0,9286345313994638;0,9294710632997385;0,9274066592589719;0,9248235818674855;0,9250426976312784;0,9257655233227287;0,922222497394073;0,9221960345596032;0,9208719852311565;0,9217924840185677;0,9198531164009681;0,9194187014804761;0,9176244311991139;0,915884242393862;0,9148082217509748;0,9114424492851323;0,9127579876864773;0,9110954947916012;0,9137661734988755
RMSE;4723,581486130358;4762,898873362587;4698,965933984755;4776,400217996432;4761,356708477725;4770,472593711458;4817,678931290308;4859,792723502364;4928,196421478647;4980,978925721115;5027,248408998725;5081,102994529248;5129,99862271943;5184,894224396365;5223,679180379042;5322,92917231368;5315,751592719034;5314,3606770439565;5336,306130598216;5410,039102366554;5378,237932026914;5456,381587303272;5552,609833649574;5544,511867436003;5517,713782849301;5647,852423462378;5648,813147760035;5696,675456929152;5663,443721659078;5733,233940641336;5748,750679770707;5812,400833584358;5873,473634793393;5910,92140789935;6026,55523637639;5981,624967282072;6038,349241582114;5946,962117708149
eqs;7552,0;7050,0;6163,0;5474,0;4871,0;4517,0;3845,0;3376,0;2304,0;2090,0;1913,0;1451,0;1194,0;916,0;861,0;664,0;548,0;486,0;422,0;306,0;288,0;267,0;167,0;157,0;141,0;93,0;85,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
