;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
r2;0,9455614844549077;0,9456779284175871;0,9453886200118337;0,9454418861383905;0,9454218613672408;0,9443331568023282;0,9443425460318624;0,9426397645128755;0,9419869640614974;0,9401998745379412;0,9407905888169004;0,938647514934121;0,937809906770371;0,9365797030635641;0,9371162110500953;0,9364244664763961;0,9342380378813507;0,9324936987021126;0,9334014649729986;0,9311092574137569;0,9306964432407341;0,9301499485053184;0,928142665850443;0,929363983294111;0,9279903263293089;0,9265344802397388;0,9252818394000173;0,9237388937794754;0,9231838628544018;0,9235656501246493;0,9239350418631314;0,9215884661898752;0,9191789119848321;0,9197111174786599;0,9174930899514462;0,9146589140620911;0,911521233317512;0,9114843359002294
RMSE;4725,083419990308;4720,027238990818;4732,579505398887;4730,270941890262;4731,138951214052;4778,093456427905;4777,690483082325;4850,224108520155;4877,745534075943;4952,305077750275;4927,784580690982;5016,172031655602;5050,297326469847;5100,00355379078;5078,385837336826;5106,241487879552;5193,303747687745;5261,729284398648;5226,231957126439;5315,410087215124;5331,312073149823;5352,29088699116;5428,65064221515;5382,319117361335;5434,402039747429;5489,061806613792;5535,660270783011;5592,524476773279;5612,838873250654;5598,873189786364;5585,327694000716;5670,825946463593;5757,297737619502;5738,310574476689;5817,032691868693;5916,098900858;6023,873918041114;6025,129825138916
eqs;7552,0;7050,0;6163,0;5474,0;4871,0;4517,0;3845,0;3376,0;2304,0;2090,0;1913,0;1451,0;1194,0;916,0;861,0;664,0;548,0;486,0;422,0;306,0;288,0;267,0;167,0;157,0;141,0;93,0;85,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
