;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
r2;0,9446683101160501;0,9445138668016039;0,944685973628221;0,9441963388911846;0,9438285401999702;0,9437022466112935;0,9430227109269216;0,9423342122342835;0,9403115045348835;0,9406722166932836;0,9408552155074443;0,939354728906034;0,9385024382726768;0,9361459366403405;0,9359563951541445;0,9357647626434242;0,9351069971083484;0,9349697601475188;0,9340580757493373;0,9328659152120788;0,9328350605587168;0,9333896891458768;0,9314252149896407;0,9306121162197684;0,9302236550159035;0,9266717053934136;0,9261942555181073;0,9259877294907047;0,926336010662182;0,9254443846695113;0,9251076219291168;0,9245931726938384;0,9230891757284039;0,9224248178528267;0,9226636531718332;0,9200066030188669;0,9159161895370236;0,9139396381590832;0,9120386767463851
RMSE;4780,370377174625;4787,037277973257;4779,607298454462;4800,7150152985805;4816,50964966407;4821,921230194617;4850,9351686959;4880,155877262916;4965,007346305321;4949,982235696157;4942,342134943043;5004,642391943201;5039,686575490415;5135,335816921509;5142,95191747177;5150,640590222676;5176,944571575311;5182,4158310063585;5218,616553058202;5265,578792264218;5266,7886765261665;5244,997790999711;5321,778648740485;5353,236132265213;5368,199999549656;5503,137597179236;5521,024343961241;5528,7435173446065;5515,71981272312;5549,0004352503565;5561,518547686842;5580,587393244917;5635,96532311966;5660,2547965573785;5651,534798440428;5747,800016980638;5892,923071808949;5961,782985916736;6027,267359310397
eqs;7518,0;6997,0;6141,0;5446,0;4837,0;4495,0;3833,0;3358,0;2294,0;2084,0;1907,0;1448,0;1195,0;918,0;870,0;666,0;549,0;488,0;422,0;307,0;290,0;266,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
