;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
r2;0,9452984377388257;0,9442309308990682;0,9443846355816354;0,9443906299836808;0,9440908855312564;0,9443556314651442;0,9438306651539694;0,9435238814944278;0,9426458619022765;0,9428549781733329;0,9418869422789401;0,941718025230574;0,9410895865877905;0,9401979131661679;0,9398205938276291;0,9395412696802874;0,938376438484344;0,9381275421647731;0,9382112263454907;0,9367404874777985;0,9366589442364557;0,936300874309425;0,9348328276398079;0,9351147490083127;0,9348695089206026;0,9334695281122644;0,9317763355755596;0,9321019533342492;0,9318424294277026;0,930289714067879;0,930595693530381;0,9294944367144904;0,9275801822163584;0,9268862975478045;0,9263870267984249;0,9227112800264008;0,9210011935861099;0,9164019191565729;0,9131926742734513
RMSE;4753,072560961925;4799,226832337421;4792,60871392913;4792,350425613116;4805,248880779112;4793,858254090802;4816,418545050833;4829,55370526378;4866,950825527963;4858,070141085879;4899,045161884937;4906,160015301703;4932,539986826465;4969,729478321853;4985,3829997460125;4996,939492314257;5044,846735509436;5055,024485938596;5051,604800244578;5111,372121210434;5114,665409479681;5129,101756328691;5187,869201790659;5176,635352143272;5186,408923047227;5241,853527356586;5308,136724154988;5295,454241559288;5305,5648876914565;5365,658291653146;5353,869595401371;5396,178071052629;5468,941694418519;5495,079347554741;5513,809520786244;5649,794308422569;5711,955880027751;5875,877501258067;5987,5998381426725
eqs;7518,0;6997,0;6141,0;5446,0;4837,0;4495,0;3833,0;3358,0;2294,0;2084,0;1907,0;1448,0;1195,0;918,0;870,0;666,0;549,0;488,0;422,0;307,0;290,0;266,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
