;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
r2;0,9444368923822382;0,9447385222648115;0,9424498254865178;0,9431994581961441;0,9418988636651263;0,9402669210685671;0,9423951259747407;0,9393863791505235;0,9391803430047437;0,9343164543790304;0,9351514996789994;0,9359609982418378;0,9339584717014208;0,939257008558859;0,9295151955385865;0,9317615902221179;0,9312086331432253;0,9349722205972217;0,9187506214421943;0,9256738671406198;0,9243624735531054;0,9300783989794845;0,9295145994714201;0,9232424877650725;0,9272152108537085;0,924401325028179;0,9117065012624389;0,924337304845629;0,920452764096128;0,9187612668182802;0,9195897274128016;0,9200996895688838;0,9235070121554034;0,9195527962784691;0,9078204259502236;0,9255927580952124;0,8964156637596036;0,9094567746963755;0,9176847156466333;0,9183888414126778;0,9203288842136652;0,9219902271574757;0,9202445723653204;0,8991823926546725;0,9058382284640722;0,9092763321200465;0,916159032440989;0,9196010132838359;0,9121953273162355;0,9178296537420638;0,8911632544452351;0,909781806544911;0,9021998077361627;0,9159664761515734;0,9140799716233603;0,9153253566218859;0,9021695723954508;0,9093381160501883;0,9131270663839544;0,90820169737103;0,8964084267341853;0,902441904690943;0,9122319408494353;0,9122732111690306;0,9048813585333702;0,9078368642315597;0,9046960073676574;0,9092142209792019;0,911446686403921;0,8995192464643736
RMSE;4773,639373905647;4760,664652094683;4858,247833122467;4826,503020931658;4881,447876842002;4949,528093662193;4860,556085631349;4985,875815370723;4994,342552178364;5190,2065000385255;5157,109012262294;5124,820044199062;5204,330884581868;4991,1937776089135;5376,554999930556;5290,184173869771;5311,574931979101;5164,232720894982;5772,53223981865;5521,1190508133595;5569,612774986076;5355,0314422897945;5376,577733774772;5610,696647699755;5463,571831721877;5568,182165893807;6017,563841528266;5570,539354039132;5711,746048398421;5772,1540659130815;5742,646858562257;5724,407954180383;5601,020415556189;5743,96545946869;6148,563911251401;5524,130714243832;6517,835373414063;6093,745657460271;5810,2736160797185;5785,36967523351;5716,191804170891;5656,279346689434;5719,215580450224;6430,200818048912;6214,3205788273535;6099,81471385123;5863,872030797614;5742,243843847711;6000,882971992499;5805,156091284625;6681,040688533634;6082,7981671871785;6333,243666227383;5870,601902271995;5936,13199210708;5892,953732086805;6334,2225650316805;6097,737335807629;5968,958878076291;6135,834948073267;6518,063057049061;6325,40007710559;5999,63169213185;5998,220952085563;6245,815665114197;6148,015653511896;6251,898099522954;6101,902380923514;6026,411061567673;6419,449471975326
eqs;7552,0;7050,0;6163,0;5474,0;4871,0;4517,0;3845,0;3376,0;3254,0;2304,0;2090,0;2037,0;2010,0;1913,0;1451,0;1194,0;1192,0;1144,0;916,0;871,0;861,0;664,0;663,0;548,0;486,0;481,0;478,0;479,0;422,0;306,0;288,0;267,0;261,0;258,0;257,0;254,0;167,0;164,0;157,0;154,0;141,0;136,0;93,0;91,0;85,0;85,0;81,0;74,0;54,0;49,0;47,0;44,0;44,0;29,0;28,0;26,0;24,0;15,0;15,0;15,0;15,0;8,0;8,0;8,0;8,0;4,0;4,0;4,0;2,0;2,0
