;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
r2;0,9448491665201557;0,9456713559644669;0,9440331918626844;0,9460873330053301;0,944468122665761;0,942517786023262;0,9446170499217772;0,9416418495756016;0,9438803786587563;0,9393051648938824;0,9400601044976589;0,9407200567468484;0,9421741424545297;0,9433095064048931;0,9363884184395399;0,9380852773678553;0,9392055260980421;0,9427790075242918;0,935963384316927;0,9415455634341348;0,9334323602318161;0,9365225185918089;0,9413797419154495;0,9337822320985276;0,9346573826983658;0,9409372855507222;0,9300049447263509;0,9377096951319231;0,9393151528908538;0,9309541652910066;0,931677020416084;0,939920054337666;0,9325341766209022;0,9369490516645842;0,9397247707508257;0,9340982201037641;0,9267637809521418;0,9381267387206301;0,9281275826967567;0,9285490301396846;0,9345847947523234;0,9339878653536678;0,9292394824586742;0,9370774656879987;0,9236574507646189;0,932900648630299;0,9260844317783127;0,931630765206661;0,925752120281934;0,9282649880971336;0,9326152158038958;0,9290406301720108;0,9216459566304399;0,9243566888977975;0,9221622744038334;0,9268384303636195;0,9281700035962194;0,923162631185194;0,9214899952493847;0,9196693007370769;0,9177399371896698;0,9216850822690695;0,9170942958473194;0,9178510374811819;0,9157216437343387;0,9154999225675042;0,9140426413861528;0,9137368628515223;0,9118723691702268;0,9106446132138795
RMSE;4755,8963746218315;4720,312769517922;4790,949717084424;4702,207083432254;4772,297628708501;4855,378452931367;4765,894078382174;4892,232661522413;4797,485924271597;4989,214905223094;4958,089178442282;4930,718771335941;4869,8701815857785;4821,825199974328;5107,688930678004;5039,103853309704;4993,308462027147;4844,333528003437;5124,724568637176;4896,2668886412985;5225,019584216506;5102,302307593239;4903,206750500335;5211,27044312137;5176,719176396602;4921,6762762802455;5357,843495917152;5054,364653183459;4988,804373473933;5321,389952930346;5293,461296834714;4963,878111196637;5260,151536963773;5085,131108865155;4971,938849976063;5198,821608030463;5480,488877133691;5037,41634634313;5429,220360508811;5413,278951439551;5179,593740711327;5203,172588269567;5387,0603828100375;5079,950100576313;5595,509946931071;5245,845602947992;5505,849083504773;5295,2528517038545;5518,211872203667;5424,028096782534;5256,991370462035;5394,6244720233435;5668,746672877679;5569,825749124942;5650,038561708184;5477,695043835087;5427,617893152162;5613,61450262566;5674,385603638855;5739,804717917495;5808,32436627523;5667,3311682081885;5831,073951739263;5804,400684825465;5879,147707590954;5886,876116961012;5937,421407131005;5947,972710112695;6011,908895546122;6053,641701970939
eqs;7552,0;7050,0;6163,0;5474,0;4871,0;4517,0;3845,0;3376,0;3254,0;2304,0;2090,0;2037,0;2010,0;1913,0;1451,0;1194,0;1192,0;1144,0;916,0;871,0;861,0;664,0;663,0;548,0;486,0;481,0;478,0;479,0;422,0;306,0;288,0;267,0;261,0;258,0;257,0;254,0;167,0;164,0;157,0;154,0;141,0;136,0;93,0;91,0;85,0;85,0;81,0;74,0;54,0;49,0;47,0;44,0;44,0;29,0;28,0;26,0;24,0;15,0;15,0;15,0;15,0;8,0;8,0;8,0;8,0;4,0;4,0;4,0;2,0;2,0
