;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
r2;0,9445565216992158;0,9452829608221384;0,9430705153100815;0,9451576943153805;0,9448534896135496;0,9422409753494996;0,9440118667525423;0,9407613674940495;0,9434660499843998;0,9387691580869364;0,939026268550113;0,9397030045588124;0,9423652684050614;0,9424092934984697;0,9355342201963667;0,9375990867754467;0,9384559094189708;0,9422697939223428;0,9366867842077025;0,9407127242467421;0,9328484407511227;0,9363590531087036;0,9410857885252086;0,9323542290037503;0,9336552690030504;0,9393343515287248;0,9296746107792984;0,9369008943120072;0,9391126240505833;0,9299300372069671;0,9304911717874256;0,9395429070967021;0,9336255387542711;0,9365923841967769;0,9391130539816275;0,9339672199675133;0,9257991064132878;0,9366749941571614;0,9276280194797999;0,9285189875046104;0,9352658523699097;0,9337686321491188;0,9309063826384454;0,9368635162824096;0,9233828194931053;0,932429759056189;0,9267426923417359;0,9315038563663613;0,9258635849794355;0,9287261439882023;0,9310674271063999;0,9293616587250655;0,9214654542969086;0,9243390609050299;0,9217309496430287;0,9264561446485524;0,9283193863814769;0,9230760970887654;0,9205274989676615;0,9203703522966916;0,9171885666061654;0,9215123733132293;0,9166671973157474;0,917673005475667;0,915673826537742;0,91536676090016;0,913012590564442;0,9134439414124402;0,9117592886931588;0,9109072714643144
RMSE;4768,497698470508;4737,155464535666;4831,978236611008;4742,574870309046;4755,709971390646;4867,055163951221;4791,862381245532;4929,000423064899;4815,163169551062;5011,196799340626;5000,664635491977;4972,8364857782;4861,8155762060105;4859,958338657658;5141,868473400661;5058,8501586833445;5023,998747954766;4865,840816196125;5095,696218784094;4931,0237090264;5247,886019250679;5108,8677385737865;4915,485030484626;5267,161911679998;5216,263983389525;4988,015166368794;5370,471490210722;5087,072710981286;4997,122225551694;5360,70966584746;5339,20169000786;4979,43391844479;5217,432602614221;5099,4936456001515;4997,104582963759;5203,986174363591;5516,465556607521;5096,170651479914;5448,0561128953705;5414,416879119432;5152,560028870558;5211,805566684039;5323,230948495947;5088,57920304325;5605,565430349735;5264,220559095701;5481,27788274696;5300,165169625538;5514,068206132649;5406,565525720615;5317,023594978939;5382,407680321576;5675,272394738746;5570,474710196217;5665,671307750753;5491,987494343731;5421,971125065773;5616,774634050575;5709,062316461956;5714,7039979173815;5827,7577980164215;5673,576848031479;5846,074390671475;5810,686886095703;5880,815303578708;5891,51278518242;5972,8903471529175;5958,062837996021;6015,764732696948;6044,737878780681
eqs;7552,0;7050,0;6163,0;5474,0;4871,0;4517,0;3845,0;3376,0;3254,0;2304,0;2090,0;2037,0;2010,0;1913,0;1451,0;1194,0;1192,0;1144,0;916,0;871,0;861,0;664,0;663,0;548,0;486,0;481,0;478,0;479,0;422,0;306,0;288,0;267,0;261,0;258,0;257,0;254,0;167,0;164,0;157,0;154,0;141,0;136,0;93,0;91,0;85,0;85,0;81,0;74,0;54,0;49,0;47,0;44,0;44,0;29,0;28,0;26,0;24,0;15,0;15,0;15,0;15,0;8,0;8,0;8,0;8,0;4,0;4,0;4,0;2,0;2,0
