;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
r2;0,9431112966065753;0,9423183358959135;0,9411822337171118;0,9412647266550607;0,9402545306420513;0,9391883777163272;0,9386629025459607;0,9382031102201178;0,937328241638836;0,9364621912682551;0,9366176278260486;0,9341154662628889;0,9342572826742993;0,9316052276085255;0,9327753215432647;0,9289011394023076;0,9305281309059938;0,9299075107861637;0,929447047871296;0,9280353384590005;0,9286975016203801;0,9281924840802294;0,9276429549634456;0,9270992037443262;0,9269754183904297;0,923626640301644;0,9226646193324052;0,9234819994287751;0,9235077200698194;0,923429262115341;0,9224482127605137;0,9209513980111019;0,919803002071784;0,9184852995478497;0,9190257717765598;0,9153709454374475;0,9128611953409198;0,9116422022065057;0,9098291967893801
RMSE;4817,988868347012;4851,451176456693;4898,995473586831;4895,55880508222;4937,479018930627;4981,338667180644;5002,814327263602;5021,53025159637;5056,950637836347;5091,771325712911;5085,539350935362;5184,949286211407;5179,365980275515;5282,800725834446;5237,416852834492;5386,220084635244;5324,235615675659;5347,964506571056;5365,502107639472;5418,915989660989;5393,928039780402;5412,996248733854;5433,669082722768;5454,047431371447;5458,675946260506;5582,435609963408;5617,484571914128;5587,719300667068;5586,780098121413;5589,644537505306;5625,338747547981;5679,366185327781;5720,471552086069;5767,276098403241;5748,124727248464;5876,4158182713845;5962,914381834918;6004,477421238205;6065,767273760956
eqs;7529,0;7020,0;6165,0;5466,0;4856,0;4524,0;3845,0;3372,0;2310,0;2091,0;1912,0;1453,0;1196,0;916,0;868,0;663,0;549,0;486,0;423,0;307,0;289,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
