;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
r2;0,942760266522782;0,9425145779428842;0,9414755978284299;0,9402509130946649;0,9386830945939604;0,9394036114136511;0,9352011126245718;0,937161835951693;0,9306684137731132;0,9310808254892577;0,9297159746325463;0,9291212699564925;0,9264037511914801;0,9192841086506902;0,9261582916098453;0,9259731199527874;0,9247715082537834;0,922233895958588;0,9173263037389252;0,9205023422820124;0,9217551319884633;0,9214771441359142;0,9169497796712336;0,9167383113451396;0,9168271175231619;0,9113820247606972;0,9147417594000273;0,9156421269188314;0,9123908052157316;0,9117574225643924;0,913610958299317;0,9103804637655012;0,9102905681591732;0,9122311505704733;0,9085705499804978;0,9081642945137217;0,9055976926180278;0,8721426364656744;0,9041446814116132
RMSE;4832,830638221162;4843,191447234;4886,762894153421;4937,628497160058;5001,990801320539;4972,5154993235465;5142,053003688143;5063,6597801841945;5318,857349068678;5303,014419572926;5355,266499566338;5377,87543065003;5480,00070068531;5738,948110917187;5489,131593912381;5496,009787758793;5540,436119784199;5633,106285024426;5808,131653567758;5695,4748838337555;5650,419677584016;5660,44816513253;5821,342729979966;5828,749374780871;5825,640099307012;6013,31128365162;5898,219867144217;5866,993204493047;5978,987134435345;6000,561164017227;5937,205796328365;6047,1970521049225;6050,229204546163;5984,432559293291;6107,95499218212;6121,509923198638;6206,461693583563;7222,967270968852;6254,0432747912255
eqs;7529,0;7020,0;6165,0;5466,0;4856,0;4524,0;3845,0;3372,0;2310,0;2091,0;1912,0;1453,0;1196,0;916,0;868,0;663,0;549,0;486,0;423,0;307,0;289,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
