;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
r2;0,943504550751347;0,942779379973627;0,9409700560979823;0,9412490726311654;0,939952821911065;0,9403666167394908;0,938847226934824;0,9379678498053068;0,9362907506085448;0,9369448314298098;0,9351030065069538;0,9333711077776166;0,9331970022552907;0,9313989715229862;0,9311978056016085;0,9305943893455757;0,930370187019814;0,9299565963719012;0,9289067475575059;0,9292767711902246;0,9288699056211787;0,9276204647539658;0,9261505168114114;0,9250315913001063;0,9238881042748087;0,9248579345378476;0,9245758717996992;0,9245161835688984;0,9229970670703743;0,9221567694687565;0,9221209579781223;0,9204274044030308;0,9195952395925531;0,9198514221394276;0,9193165024387494;0,9160545378847558;0,9124059887460471;0,9109237055614775;0,9092029494916508
RMSE;4801,307350709472;4832,023683176771;4907,823770893265;4896,211139571036;4949,930210575839;4932,845340697471;4995,291681450819;5031,079640446323;5098,636124768472;5072,395633970194;5145,944089474743;5214,156605074251;5220,964621529141;5290,760322165134;5298,511966608452;5321,6960287675665;5330,284488802091;5346,091595880036;5386,007652582178;5371,972916313738;5387,403039929932;5434,513470863255;5489,42056182324;5530,850515471583;5572,871691456372;5537,25263901414;5547,635569562178;5549,8302456887695;5605,3974045497225;5635,898980191988;5637,195218379463;5698,158650158732;5727,876633518331;5718,744383689615;5737,796386505117;5852,634278865025;5978,469003511224;6028,841212889804;6086,7945768089985
eqs;7529,0;7020,0;6165,0;5466,0;4856,0;4524,0;3845,0;3372,0;2310,0;2091,0;1912,0;1453,0;1196,0;916,0;868,0;663,0;549,0;486,0;423,0;307,0;289,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
