;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
r2;0,9431375165644797;0,9438408339608778;0,9430160061130266;0,9428373701773778;0,9427584908081107;0,9422325500264672;0,942215417991106;0,9419427437841744;0,9400944244143433;0,9403805585743708;0,9400930120149041;0,9385819320262614;0,9371657425900537;0,9369360605483036;0,9362974296010231;0,9350935780516874;0,9341568564362774;0,9336205084289642;0,9332922788276792;0,9319579194320238;0,9314982421056346;0,9313704219758338;0,929633509855932;0,9298482176659654;0,9293494553707398;0,92746206355332;0,927046176892207;0,92710867810817;0,9265410223884316;0,9253476032910477;0,9243899564956234;0,9242033549884922;0,9222561100181453;0,921924297031818;0,9223013020890009;0,9198971149617112;0,9161072108666014;0,9131241702501808;0,9105668116603238
RMSE;4816,878436774593;4786,996384714903;4822,022326793834;4829,574556721492;4832,9056006746105;4855,057446643838;4855,777323061074;4867,220573848116;4944,090333950376;4932,268675987335;4944,148617250277;5006,115322055417;5063,502374288343;5072,748403101358;5098,368858671242;5146,317886001686;5183,320378382234;5204,388821175133;5217,240139681461;5269,162192038394;5286,930882463818;5291,861129999182;5358,407265835474;5350,226021848121;5369,2117455622265;5440,45688422685;5456,030663439732;5453,693009256347;5474,887686324824;5519,181194465729;5554,468632031107;5561,318472796724;5632,301672928062;5644,3082819680285;5630,664422868409;5717,114018990218;5850,797824191287;5953,909887526677;6040,906744849644
eqs;7529,0;7020,0;6165,0;5466,0;4856,0;4524,0;3845,0;3372,0;2310,0;2091,0;1912,0;1453,0;1196,0;916,0;868,0;663,0;549,0;486,0;423,0;307,0;289,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
