;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
r2;0,9455212686844818;0,9447463298678984;0,9449785873755696;0,944616225114674;0,9442924137068364;0,9434274483679789;0,942351620253745;0,9420112091329867;0,9398790946083557;0,9391037848546694;0,9390745021838716;0,9385928462600552;0,9369792956830213;0,9354703966561093;0,9361212007882217;0,9330474994769147;0,9316119869409009;0,9324523379161402;0,9311718142733117;0,9296576895940802;0,9289006863575299;0,9298445007489974;0,9260990808702732;0,9269888472797468;0,9265105150179512;0,9240393026666951;0,9239899895017557;0,924408413919212;0,9235641058174746;0,9206619059871772;0,9217198364713919;0,9197317450394261;0,9141384371998711;0,9139519843702089;0,9129343411117294;0,9126965668431269;0,9108176074439562;0,9055781119046775;0,9090102038504743
RMSE;4769,260379938733;4803,061043321075;4792,955635402503;4808,712556081225;4822,749578874096;4860,046501603277;4906,040101197447;4920,503755213764;5010,145022639313;5042,346560379068;5043,558750890986;5063,4558194352785;5129,548816078875;5190,593740992601;5164,352914014815;5287,141598747434;5343,52116495992;5310,58912740854;5360,690104896515;5419,333218351216;5448,415817495301;5412,1322538892655;5554,723693631688;5521,183018599868;5539,239496377508;5631,602751238966;5633,430453639741;5617,903434466543;5649,190449108117;5755,4385636292445;5716,936956403946;5789,078673635203;5987,38155942269;5993,878988505645;6029,217991403099;6037,445204483123;6102,068808844123;6278,759975809457;6163,5920590259075
eqs;7538,0;7031,0;6165,0;5468,0;4861,0;4521,0;3842,0;3377,0;2315,0;2095,0;1913,0;1455,0;1201,0;919,0;866,0;666,0;550,0;488,0;421,0;307,0;290,0;266,0;168,0;158,0;140,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
