;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
r2;0,9427088567435663;0,9438052662920311;0,9412129690196677;0,9424548941000669;0,940977660272132;0,9394528588061595;0,9409367118244731;0,9375355172781514;0,9377155902070283;0,9334969817413815;0,9350185700157252;0,9342025701927541;0,9337719188492616;0,9367711514449041;0,9291919264666206;0,9315611905233132;0,9308302791392005;0,9337848581637195;0,9266033964702846;0,9296446343908954;0,9229656192960248;0,9286335612992378;0,9320854020415679;0,9238091999370913;0,9251601299873787;0,9247857105343018;0,9129326963983064;0,9250942223133861;0,9232815443619765;0,9189273123147648;0,920276878494665;0,922164984597094;0,9227228537342003;0,9218644831354984;0,9134593491183118;0,9260764316866797;0,9039638916597633;0,9112855588828671;0,9177171748325854;0,9180808812073408;0,9205991884919686;0,9220517138994213;0,9210457062073923;0,9035189308088682;0,9056233308233523;0,9092437464963681;0,9145627943991026;0,9222290410229467;0,9148104165768391;0,9162920913156529;0,8992984505377299;0,914087875823583;0,9017429048457716;0,916296524250427;0,9129216020015739;0,9137973136171499;0,9085989004216356;0,9089858868816788;0,9126263205315408;0,9128916285976842;0,9017092126255783;0,9018744523051355;0,9116853458340707;0,912038412084642;0,900430185612901;0,909571851522322;0,9060201274934102;0,9078268658358795;0,9118953552333784;0,9012769485539964
RMSE;4864,27728672411;4817,507375139693;4927,371904173057;4875,0466539592835;4937,223530991736;5000,591755562523;4938,935904533946;5079,151339442219;5071,824953822989;5240,771897034317;5180,470578175101;5212,895802277677;5229,9274645662335;5110,1331459275825;5407,742065782598;5316,499807790152;5344,813933832921;5229,416540947866;5505,700222564119;5390,427280065896;5640,490565994666;5429,021881525851;5296,099630319735;5609,521881279403;5559,568577936988;5573,458323967807;5996,559218704341;5562,016054110656;5628,91259845731;5786,445470202783;5738,0816910509475;5669,726208200734;5649,371274397661;5680,660359892848;5978,395716010921;5525,429480950281;6297,843377341662;6053,014856979155;5829,471411055122;5816,573433589418;5726,47079255133;5673,850189943785;5710,346425619653;6312,416309081179;6243,195034587878;6122,27536466987;5940,159372704238;5667,392700922347;5931,544960966175;5879,7359817292745;6449,004142327392;5956,64623270413;6370,250927081816;5879,580292550138;5996,9412569958495;5966,710675585398;6143,987021650084;6130,966599385108;6007,1004183612;5997,973276884169;6371,343008528135;6365,985225003209;6039,360660483894;6027,276426851825;6412,66315992072;6111,198617595454;6230,056785621388;6169,880562104079;6032,175684095568;6385,337612599038
eqs;7518,0;6997,0;6141,0;5446,0;4837,0;4495,0;3833,0;3358,0;3238,0;2294,0;2084,0;2029,0;2010,0;1907,0;1448,0;1195,0;1192,0;1144,0;918,0;870,0;859,0;666,0;663,0;549,0;488,0;481,0;479,0;479,0;422,0;307,0;290,0;266,0;261,0;258,0;257,0;255,0;168,0;164,0;158,0;154,0;141,0;136,0;93,0;91,0;86,0;85,0;81,0;74,0;54,0;49,0;47,0;44,0;44,0;29,0;28,0;26,0;24,0;15,0;15,0;15,0;15,0;8,0;8,0;8,0;8,0;4,0;4,0;4,0;2,0;2,0
