;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
r2;0,9446923547757007;0,9451444553975101;0,941962803806008;0,9441864706896574;0,9435063737621048;0,9395453755128771;0,9428338031787311;0,9405430270345295;0,9428863377995621;0,938136455174679;0,9383561890094474;0,9398968041253402;0,9422513751050325;0,9425222102808939;0,9349891342381632;0,9385431931581479;0,9389527439325365;0,9420898774596027;0,9361099400757791;0,9412405598208268;0,9331748658184953;0,9370393988360122;0,9414925597611566;0,9332710388261862;0,9347441031970843;0,9401988110317251;0,9294492849391621;0,9379780921221543;0,9399707157607161;0,9313006680210151;0,9305891051651899;0,9396034240629739;0,9328257630930401;0,9376597453508823;0,9395358886890605;0,9357893464645283;0,9281914439801227;0,9377392828671868;0,9287451060301362;0,9297877005387772;0,935454841965836;0,934539370819553;0,9306186456138471;0,9369920173653357;0,9246748440832327;0,9343606875516433;0,9269987893286143;0,9331377920036267;0,9268617047693973;0,929609834298613;0,9321988003330406;0,9302537346322065;0,9224648319761103;0,9251925638748308;0,9233678641294805;0,9279500097012091;0,9297229761788166;0,9244905852218873;0,9225179158177181;0,9216459030595461;0,9189214159586948;0,9229949377299649;0,9190909104756493;0,9196360859879196;0,9173801603743182;0,9168533159824068;0,9160440342167614;0,9150753611408363;0,9135352379870407;0,9133201890028321
RMSE;4781,327016647757;4761,744945082577;4897,890544887976;4803,143994830304;4832,318933771953;4998,856016825457;4860,998801733554;4957,437656796072;4858,764706759014;5056,770744831321;5047,782155044069;4984,305421870866;4885,698778065093;4874,228598648288;5183,807178153262;5040,119802736777;5023,29794414052;4892,525589770405;5138,9277477140395;4928,272219481629;5255,642109312123;5101,410796525226;4917,692994119874;5251,858855420097;5193,567077826537;4971,767067143894;5400,159331255908;5063,238963046818;4981,239765475463;5328,833132679866;5356,359104271441;4996,455488853452;5269,352287330686;5076,216657312829;4999,248223429951;5151,804913746882;5448,08607897798;5072,977349647346;5427,042379618705;5387,192099450842;5165,206610140264;5201,707787761669;5355,2191817118055;5103,329987917078;5579,893161400149;5208,80231735096;5493,14287728611;5257,099792022225;5498,298078683446;5394,011371398802;5293,885612356388;5369,283590963866;5661,157401640729;5560,6844253924255;5628,09382708558;5457,237154018124;5389,674586444663;5586,713703349283;5659,219136434266;5690,9755359088995;5789,071875495691;5641,771623175697;5783,017691788255;5763,501414066181;5843,836245122292;5862,438918506184;5890,89992315292;5924,786678977151;5978,2688119598615;5985,698556875537
eqs;7547,0;7023,0;6166,0;5470,0;4868,0;4522,0;3845,0;3374,0;3265,0;2311,0;2087,0;2039,0;2019,0;1911,0;1455,0;1195,0;1192,0;1144,0;915,0;871,0;863,0;663,0;663,0;548,0;485,0;482,0;479,0;479,0;423,0;307,0;288,0;267,0;259,0;258,0;257,0;254,0;168,0;164,0;158,0;153,0;141,0;136,0;93,0;91,0;86,0;85,0;81,0;74,0;54,0;49,0;47,0;44,0;44,0;29,0;28,0;26,0;24,0;15,0;15,0;15,0;15,0;8,0;8,0;8,0;8,0;4,0;4,0;4,0;2,0;2,0
