;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
r2;0,9439054896761723;0,9445041776927617;0,9404782434042007;0,9435953767902306;0,9419545527943687;0,9385114885381562;0,9414192114414158;0,9365379641611866;0,9375669719397026;0,9330987747151568;0,9325762605760922;0,9304618832305613;0,9342088853203749;0,9375325708228373;0,9279401038758659;0,930725020888411;0,927348338756402;0,9356210638129814;0,9233409361200963;0,9298565487523682;0,9215400464477974;0,9268470735943207;0,9316242286960758;0,9212556994729297;0,9225096116969203;0,927193064682067;0,9132976858840962;0,9250941827300623;0,922148596731975;0,916092314434231;0,917646431143294;0,9254952524745275;0,9138095318801129;0,9200467878237609;0,9123862099855328;0,9206284602154396;0,9039557671937093;0,9159976736268192;0,9119773455392537;0,9169254611827071;0,9192121243685405;0,91880213913975;0,913730717197262;0,9091324253314237;0,9063952542367405;0,9122068495387544;0,9132687241862482;0,9171207462526285;0,9149272410237831;0,9159158606712969;0,8935353429905235;0,9106214910254073;0,8987667447944315;0,9137517911912609;0,9131616500019119;0,9126791611813438;0,9021454500506564;0,9132721506305566;0,913710866862281;0,9058226691857524;0,9014767418315461;0,9082728375934872;0,9121606083076164;0,9074381167202227;0,8969367675506659;0,907590803077408;0,9116684003342708;0,9063654366415438;0,9120529730082979;0,900865066877135
RMSE;4815,219005938904;4789,454031974616;4960,137704888618;4828,510888712738;4898,238693302332;5041,419695194813;4920,77458115761;5121,684993441287;5079,992410701932;5258,633452590515;5279,129087047571;5361,265642378179;5214,821965869157;5081,391776962531;5457,612286477858;5351,112304332853;5479,975773823238;5158,551396276578;5629,082577107383;5384,55018683045;5694,818500593155;5498,848013151201;5316,269431150776;5705,128473137886;5659,52239092677;5485,828661374502;5986,475486028335;5564,339722116482;5672,690463436455;5889,205851578134;5834,411762319265;5549,423099417504;5968,778788801218;5748,755289205321;6017,860244025834;5727,805559926758;6300,739288634427;5892,526179853521;6031,885577271414;5859,894988937071;5778,684156260901;5793,328537836547;5971,5071642472;6128,586668972928;6220,206430841835;6024,016890455008;5987,475251834589;5853,003447181469;5929,951244801481;5895,394955517994;6633,742254326134;6078,164037066061;6468,706771987722;5970,777755190432;5991,170033653197;6007,790964445937;6359,842723481744;5987,35697873797;5972,19413877484;6239,202087334278;6381,5363396883695;6157,505994038093;6025,603126317521;6185,459320267057;6526,91179443949;6180,355572294298;6042,461774023814;6221,197068804886;6029,293777073652;6401,315355413982
eqs;7547,0;7023,0;6166,0;5470,0;4868,0;4522,0;3845,0;3374,0;3265,0;2311,0;2087,0;2039,0;2019,0;1911,0;1455,0;1195,0;1192,0;1144,0;915,0;871,0;863,0;663,0;663,0;548,0;485,0;482,0;479,0;479,0;423,0;307,0;288,0;267,0;259,0;258,0;257,0;254,0;168,0;164,0;158,0;153,0;141,0;136,0;93,0;91,0;86,0;85,0;81,0;74,0;54,0;49,0;47,0;44,0;44,0;29,0;28,0;26,0;24,0;15,0;15,0;15,0;15,0;8,0;8,0;8,0;8,0;4,0;4,0;4,0;2,0;2,0
