;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
r2;0,9462344310389239;0,9456566147149306;0,9452345242065673;0,9454519578552201;0,9449438698555372;0,9453151858912983;0,9452418884465686;0,9446891949296138;0,9435599674015098;0,9431090009481066;0,9427459359951903;0,9425143353513489;0,9408817847605734;0,9399603643933235;0,9396558376937711;0,938465358041806;0,9377720435999746;0,9377880166737085;0,9366806959999215;0,9353691920867252;0,9356951300192416;0,9358785236760176;0,9330608847890179;0,9337653338823241;0,9325572084741822;0,930801639459082;0,930758383172154;0,9293486263351979;0,9280699532644818;0,927703015199596;0,927244293293619;0,92501337605531;0,9245333769329279;0,9234426216805962;0,9214469181006432;0,9184839606583586;0,914869862832872;0,9125139563413891
RMSE;4695,787832575427;4720,953118547501;4739,251713028112;4729,834305201201;4751,811279799693;4735,760308222619;4738,9330619081575;4762,7889032958865;4811,161895445084;4830,3446964024015;4845,733244857978;4855,524185545529;4923,988164448539;4962,212598896211;4974,781087281707;5023,6130757403325;5051,8344778231585;5051,186067461001;5095,94121432891;5148,445687474965;5135,4472830660325;5128,11905962554;5239,578205697147;5211,935336850297;5259,253590611618;5327,264323799149;5328,92911521623;5382,9041698977535;5431,396579176906;5445,23259756552;5462,480189657993;5545,596204285874;5563,316932254762;5603,377340735341;5675,94211120171;5781,997217051186;5908,782577545529;5989,9849569845655
eqs;7552,0;7050,0;6163,0;5474,0;4871,0;4517,0;3845,0;3376,0;2304,0;2090,0;1913,0;1451,0;1194,0;916,0;861,0;664,0;548,0;486,0;422,0;306,0;288,0;267,0;167,0;157,0;141,0;93,0;85,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
