;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
r2;0,9455910277041825;0,9450099279910723;0,9451774398135757;0,9456886996822605;0,944798544683688;0,9446039668908024;0,9446993845119731;0,944118840729314;0,9425088260183323;0,9429531211764087;0,9421461742267668;0,9408701057693079;0,9393490174230494;0,9381183326247009;0,9387907213144512;0,9373288611934066;0,9365598774861247;0,9358751075969081;0,9365695967954248;0,9350486998339236;0,9351725018950263;0,9353843011836565;0,9329055285870831;0,9325349014946281;0,9319815112821548;0,9305424504690281;0,9301812155944802;0,9294777950218867;0,9286744918157368;0,9269453052321313;0,9273112568388919;0,9247822529787881;0,9244659448528649;0,9237747026558009;0,9215898590751641;0,9182411967354149;0,915087239864305;0,9132874890011531
RMSE;4723,801117743627;4748,959735340816;4741,721031900319;4719,559259938623;4758,078544620799;4766,45696513565;4762,35017287901;4787,282395880181;4855,756852758879;4836,95767542175;4871,047727231039;4924,474515183489;4987,412204668748;5037,75852619609;5010,314342979824;5069,791937263461;5100,8006378440905;5128,2556583759315;5100,409890190362;5161,194997818641;5156,273838835228;5147,843862167244;5245,6548413029195;5260,12327853829;5281,652601926968;5337,231884557626;5351,092825680941;5377,981259595401;5408,5242402748345;5473,692656407175;5459,965807890678;5554,135921670703;5565,80188688388;5591,211320294496;5670,7755785857335;5790,600535041863;5901,233813692774;5963,445086621977
eqs;7552,0;7050,0;6163,0;5474,0;4871,0;4517,0;3845,0;3376,0;2304,0;2090,0;1913,0;1451,0;1194,0;916,0;861,0;664,0;548,0;486,0;422,0;306,0;288,0;267,0;167,0;157,0;141,0;93,0;85,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
