;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
r2;0,9430195802344015;0,9440559502977551;0,9432769010349216;0,9417391483340952;0,9427927413024872;0,9421602056934764;0,9412824325212382;0,940052835500793;0,9374518244590855;0,9373378417761105;0,9369100406565152;0,9348247307141321;0,9340729223402064;0,9327775925801923;0,9320868455864344;0,9309517779223417;0,929977962660999;0,9291408923804166;0,9290612777154614;0,9290676327953571;0,9282398910624392;0,9268426121521945;0,9258328619129391;0,9237498063770962;0,9257311140846467;0,9230118035733684;0,922667387437914;0,9219204755187141;0,9220149780000164;0,9217751088743755;0,9210955906142716;0,9216794451180375;0,9183988113901602;0,9181187741912928;0,9189385070217643;0,916250130356593;0,9120826749156391;0,9060133929403151;0,9071867152246851
RMSE;4821,871102194215;4777,819350834007;4810,9711147884755;4875,747300618893;4831,459498213277;4858,0965802313585;4894,820861444705;4945,806231581816;5051,962261660701;5056,563308033704;5073,7947915256555;5156,965092109188;5186,623066613186;5237,328384820891;5264,167820041291;5307,976906894586;5345,276138285317;5377,1309600866425;5380,150884502839;5379,9098873900075;5411,209136470107;5463,637405097444;5501,213943125871;5577,93244211199;5504,986130822044;5604,861009993234;5617,3840362407855;5644,446414148131;5641,029540802354;5649,698320402265;5674,183953357215;5653,151864515295;5770,334864757072;5780,227639932291;5751,221228657142;5845,811999501522;5989,492253517611;6192,781547644261;6154,0050190111115
eqs;7528,0;7020,0;6165,0;5466,0;4856,0;4524,0;3845,0;3372,0;2310,0;2091,0;1912,0;1453,0;1196,0;916,0;868,0;663,0;549,0;486,0;423,0;307,0;289,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
