;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
r2;0,9455287749333369;0,9452594400736604;0,9448291021318529;0,9446518895070684;0,943854368485567;0,9433333641521052;0,9431650640834489;0,9426579812928831;0,9409987971545781;0,9406418759113604;0,9403259632236711;0,9382088475288171;0,9381965602013712;0,9364845004581421;0,9365655785771068;0,9360383702920673;0,9343523750036108;0,9346873041629776;0,9340604811916222;0,9324472954044519;0,9327093882752491;0,9330908375888511;0,9315578520098317;0,930934245152921;0,931196706762395;0,9282949538786591;0,9271131297216602;0,9268463506324567;0,9257311490989096;0,9252339937540293;0,9237493015750646;0,9232134524648585;0,9226607832153015;0,922066380167218;0,9217224602530305;0,9157771081116581;0,9132264827197228;0,9117913898275357
RMSE;4726,5027460616575;4738,173515516516;4756,761415710942;4764,3948092563505;4798,597558505373;4820,810479646718;4827,964082405728;4849,45386689684;4919,112737942619;4933,969117712969;4947,081350090699;5034,07278922896;5034,573283422376;5103,830022388708;5100,571439186196;5121,723199590273;5188,787111411063;5175,53378803639;5200,309957752469;5263,537409279059;5253,316676217915;5238,405814959174;5298,075692495144;5322,157524056154;5312,0353467296745;5422,895092032945;5467,401836500569;5477,398535765246;5518,991121801518;5537,432362419429;5592,142841621855;5611,757735102104;5631,916769360628;5653,517847364344;5665,978560674828;5877,212828053091;5965,542498164256;6014,67039406596
eqs;7552,0;7050,0;6163,0;5474,0;4871,0;4517,0;3845,0;3376,0;2304,0;2090,0;1913,0;1451,0;1194,0;916,0;861,0;664,0;548,0;486,0;422,0;306,0;288,0;267,0;167,0;157,0;141,0;93,0;85,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
