;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
r2;0,9451543451221169;0,9453454808382026;0,9446322969126612;0,9440717748697909;0,9443163076809029;0,9437895632490813;0,9419952872238824;0,9413555494798719;0,9399709052364552;0,9393841712547423;0,9392094203777217;0,9359263662018159;0,9352754354369375;0,9332066696844862;0,931779799909084;0,9331758180283282;0,9316912245132196;0,9310276737656461;0,9303473018697659;0,9291411159571819;0,9298370470526804;0,9289476833790415;0,9261261905562628;0,9262260838974696;0,923985565371778;0,9238094323243524;0,9224344919651952;0,923541885511016;0,9232850767342973;0,9234081861965171;0,9222877390093606;0,9221176996772172;0,9213391616644759;0,920450420697095;0,9180293370659109;0,9195835105876423;0,9135914215850747;0,9083428392291257;0,9096774582669828
RMSE;4785,294319126414;4776,948727074928;4808,014786160747;4832,2907777469645;4821,715186431034;4844,467211072562;4921,179217104026;4948,242802799922;5006,318065084288;5030,724848246447;5037,971230069097;5172,222727663602;5198,428914541642;5280,853139133031;5336,961075850723;5282,072604126127;5340,424640131142;5366,300368071268;5392,7031323850715;5439,19582869167;5412,419753224601;5446,614804022812;5553,704757536898;5549,948583323423;5633,594396952841;5640,117421337938;5690,780852799913;5650,011513758913;5659,492235388246;5654,949333138798;5696,161751394503;5702,390126959592;5730,820770450084;5763,104367467939;5850,1468069421835;5794,421664329064;6006,423789545286;6186,154195785464;6140,950774809376
eqs;7538,0;7031,0;6165,0;5468,0;4861,0;4521,0;3842,0;3377,0;2315,0;2095,0;1913,0;1455,0;1201,0;919,0;866,0;666,0;550,0;488,0;421,0;307,0;290,0;266,0;168,0;158,0;140,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
