;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
r2;0,9446600357598434;0,9449655781024504;0,9444913869290731;0,9442200367288603;0,9430725184418587;0,9435588142490777;0,9421060157185868;0,941269373598557;0,9401365124790824;0,9371695358925922;0,9373247122279118;0,9354955742128385;0,9334374976920656;0,9309006807276072;0,9302935737658123;0,9277151019243461;0,9274512666819286;0,9248615690129279;0,9227964481703865;0,9230320755400506;0,9233728403918514;0,9232838982835445;0,9205610271186336;0,920715423793016;0,9194634591818233;0,9154696673887027;0,9164165192728261;0,9139153073862833;0,9131610470721713;0,9094908201220546;0,909149291857775;0,911426519964814;0,9115671576790251;0,9106283369057405;0,9114304467901053;0,9120636650471639;0,9086903212266703;0,9125649062204858;0,9101330777382206
RMSE;4806,810243725648;4793,522225577941;4814,129061626069;4825,881492863083;4875,268360730631;4854,400518412248;4916,47981386593;4951,877099343262;4999,4076232514935;5121,800695747515;5115,47196961661;5189,581033556072;5271,72031276427;5371,2383585882235;5394,782620111794;5493,654305021985;5503,670916305067;5601,039068204802;5677,4874307245755;5668,8168858641075;5656,2540135593845;5659,535704161913;5759,096438795964;5753,4970599375365;5798,745211928539;5940,784925225272;5907,418889289621;5995,156263646156;6021,363283773358;6147,292182888653;6158,879389931048;6081,201516244945;6076,371706903835;6108,540544378275;6081,066712460647;6059,289761612603;6174,416878217038;6041,995966697276;6125,44260780487
eqs;7538,0;7031,0;6165,0;5468,0;4861,0;4521,0;3842,0;3377,0;2315,0;2095,0;1913,0;1455,0;1201,0;919,0;866,0;666,0;550,0;488,0;421,0;307,0;290,0;266,0;168,0;158,0;140,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
