;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
r2;0,9442875286171297;0,9448306973478392;0,9445961480584618;0,9440278489735764;0,9441163049587399;0,9443763717624322;0,9430582608240903;0,9431849258706946;0,9419042175395417;0,9405363061446655;0,9398942631353068;0,9379963677261863;0,9369137633817735;0,9344505712946364;0,9346384189249094;0,9334727761527888;0,932945126517638;0,9325408603916958;0,9317070350065203;0,9303244873722117;0,9304274201358121;0,9295628144153933;0,9300998147238339;0,9266538407404199;0,9276357305739148;0,9271133256076196;0,9266424483383637;0,9253732692357561;0,9245743464181105;0,9241218760917531;0,9234547264134151;0,9233572226685351;0,9210652423014916;0,9205827397270713;0,9207629917941573;0,9190806492921515;0,9153757531910505;0,9103465132104587;0,9096711011994781
RMSE;4822,961031652987;4799,392717234443;4809,584075262788;4834,1880401881535;4830,366658156198;4819,113975710734;4875,878833557036;4870,452697379505;4925,0409245685605;4982,685578932576;5009,5129520359005;5087,988334315998;5132,215112816925;5231,449006734503;5223,947641882577;5270,323108479406;5291,18217664515;5307,108173341764;5339,806567023423;5393,586240597074;5389,60075192961;5422,986687729092;5402,27520432775;5533,835301668521;5496,669589969525;5516,474417318813;5534,26505306553;5581,934669068651;5611,734064735871;5628,5409891137415;5653,23098657128;5656,830397376622;5740,790270998367;5758,309334261346;5751,770851448366;5812,510301721743;5944,084150210071;6118,164268387102;6141,166876742482
eqs;7538,0;7031,0;6165,0;5468,0;4861,0;4521,0;3842,0;3377,0;2315,0;2095,0;1913,0;1455,0;1201,0;919,0;866,0;666,0;550,0;488,0;421,0;307,0;290,0;266,0;168,0;158,0;140,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
