;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
r2;0,9446246290638018;0,9451469831144167;0,9441726789836873;0,9437733389443771;0,9434384891882166;0,942140144276025;0,9430041370046016;0,9424523679808345;0,9401629031533318;0,93985038291995;0,9401579397791443;0,938439901275226;0,9380385376081484;0,9362454580851011;0,9373453102337107;0,9364848446265013;0,9354448535297717;0,9346950161342963;0,9347017690195347;0,9339156379620357;0,9327844685859861;0,9332947472405082;0,9320214036467902;0,9316928213620904;0,9308951639498584;0,9286827410882057;0,9290958531913601;0,9285868101494049;0,9275000202270418;0,9256739128717619;0,9259480556816586;0,9248172299415014;0,9234864048467206;0,9238412400506326;0,9230037670282952;0,9218631184307751;0,917791700443434;0,9150286739951845;0,9127612301405749
RMSE;4784,253553333056;4761,63523436919;4803,737394484324;4820,887656702465;4835,221397703399;4890,401737617248;4853,751422452473;4877,189081175017;4973,259502488855;4986,229885312573;4973,465759453921;5044,353547763313;5060,771088755202;5133,474732438466;5089,002402038909;5123,828043321904;5165,60625545617;5195,520073964202;5195,25144471287;5226,430923382538;5270,971672116478;5250,925794982854;5300,806612938717;5313,602195476975;5344,536955193858;5429,416835174027;5413,668786096536;5433,067242014162;5474,252263360763;5542,765421504558;5532,534067563881;5574,616878338486;5623,739149543539;5610,683825454839;5641,448174877261;5683,081722210384;5829,263624700977;5926,415024862189;6004,967073479373
eqs;7547,0;7023,0;6166,0;5470,0;4868,0;4522,0;3845,0;3374,0;2311,0;2087,0;1911,0;1455,0;1195,0;915,0;863,0;663,0;548,0;485,0;423,0;307,0;288,0;267,0;168,0;158,0;141,0;93,0;86,0;81,0;74,0;54,0;49,0;44,0;29,0;26,0;24,0;15,0;8,0;4,0;2,0
